coord,residual_stress
0,-43.3246753246753
0.108387096774194,-47.2987012987013
0.234838709677419,-50.8311688311689
0.370322580645161,-56.1298701298701
0.523870967741935,-61.8701298701299
0.704516129032258,-70.2597402597403
0.794838709677419,-73.7922077922078
0.912258064516129,-77.7662337662338
1.05677419354839,-84.3896103896104
1.16516129032258,-90.1298701298701
1.23741935483871,-96.3116883116883
1.30967741935484,-103.818181818182
1.44516129032258,-109.558441558442
1.54451612903226,-113.090909090909
1.64387096774194,-116.181818181818
1.77935483870968,-119.714285714286
1.89677419354839,-117.948051948052
1.99612903225806,-113.532467532468
2.10451612903226,-107.350649350649
2.22193548387097,-96.7532467532468
2.32129032258065,-87.4805194805195
2.39354838709677,-77.7662337662338
2.4658064516129,-65.8441558441558
2.5741935483871,-51.7142857142857
2.67354838709677,-40.2337662337662
2.72774193548387,-30.0779220779221
2.84516129032258,-14.6233766233766
2.98967741935484,-10.6493506493507
3.14322580645161,-9.76623376623376
3.36903225806452,-7.55844155844158
3.48645161290323,-4.90909090909092
3.64903225806452,-1.3766233766234
3.91096774193548,3.03896103896102
4.30838709677419,7.89610389610389
4.59741935483871,10.5454545454545
5.01290322580645,12.7532467532468
5.36516129032258,12.3116883116883
5.61806451612903,10.987012987013
5.88903225806452,9.2207792207792
6.16903225806452,7.89610389610389
6.37677419354839,7.89610389610389
6.59354838709677,8.33766233766234
6.75612903225807,8.33766233766234
6.99096774193548,7.45454545454544
